Rank,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Publisher_Range
1,Wii Sports,PMOD,2006.0,Sports,41.49,29.02,3.77,8.46,82.74,501-1400
2,Super Mario Bros.,ANT,1985.0,Action,29.08,3.58,6.81,0.77,40.24,501-1400
3,Mario Kart Wii,PMOD,2008.0,Sports,15.85,12.88,3.79,3.31,35.82,501-1400
4,Wii Sports Resort,PMOD,2009.0,Sports,15.75,11.01,3.28,2.96,33.0,501-1400
5,Pokemon Red/Pokemon Blue,ANT,1996.0,Misc,11.27,8.89,10.22,1.0,31.37,501-1400
6,Tetris,ANT,1989.0,Strategy,23.2,2.26,4.22,0.58,30.26,501-1400
7,New Super Mario Bros.,PMOD,2006.0,Action,11.38,9.23,6.5,2.9,30.01,501-1400
8,Wii Play,PMOD,2006.0,Misc,14.03,9.2,2.93,2.85,29.02,501-1400
9,New Super Mario Bros. Wii,PMOD,2009.0,Action,14.59,7.06,4.7,2.26,28.62,501-1400
10,Duck Hunt,ANT,1984.0,Action,26.93,0.63,0.28,0.47,28.31,501-1400
11,Nintendogs,PMOD,2005.0,Misc,9.07,11.0,1.93,2.75,24.76,501-1400
12,Mario Kart DS,PMOD,2005.0,Sports,9.81,7.57,4.13,1.92,23.42,501-1400
13,Pokemon Gold/Pokemon Silver,ANT,1999.0,Misc,9.0,6.18,7.2,0.71,23.1,501-1400
14,Wii Fit,PMOD,2007.0,Sports,8.94,8.03,3.6,2.15,22.72,501-1400
15,Wii Fit Plus,PMOD,2009.0,Sports,9.09,8.59,2.53,1.79,22.0,501-1400
19,Super Mario World,ANT,1990.0,Action,12.78,3.75,3.54,0.55,20.61,501-1400
20,Brain Age: Train Your Brain in Minutes a Day,PMOD,2005.0,Misc,4.75,9.26,4.16,2.05,20.22,501-1400
21,Pokemon Diamond/Pokemon Pearl,PMOD,2006.0,Misc,6.42,4.52,6.04,1.37,18.36,501-1400
22,Super Mario Land,ANT,1989.0,Action,10.83,2.71,4.18,0.42,18.14,501-1400
23,Super Mario Bros. 3,ANT,1988.0,Action,9.54,3.44,3.84,0.46,17.28,501-1400
26,Pokemon Ruby/Pokemon Sapphire,MOD,2002.0,Misc,6.06,3.9,5.38,0.5,15.85,501-1400
27,Pokemon Black/Pokemon White,PMOD,2010.0,Misc,5.57,3.28,5.65,0.82,15.32,501-1400
28,Brain Age 2: More Training in Minutes a Day,PMOD,2005.0,Strategy,3.44,5.36,5.32,1.18,15.3,501-1400
31,Pokémon Yellow: Special Pikachu Edition,ANT,1998.0,Misc,5.89,5.04,3.12,0.59,14.64,501-1400
33,Pokemon X/Pokemon Y,PMOD,2013.0,Misc,5.17,4.05,4.34,0.79,14.35,501-1400
40,Super Smash Bros. Brawl,PMOD,2008.0,Action,6.75,2.61,2.66,1.02,13.04,501-1400
42,Animal Crossing: Wild World,PMOD,2005.0,Misc,2.55,3.52,5.33,0.88,12.27,501-1400
43,Mario Kart 7,PMOD,2011.0,Sports,4.74,3.91,2.67,0.89,12.21,501-1400
46,Pokemon HeartGold/Pokemon SoulSilver,PMOD,2009.0,Action,4.4,2.77,3.96,0.77,11.9,501-1400
47,Super Mario 64,MOD,1996.0,Action,6.91,2.85,1.91,0.23,11.89,501-1400
49,Super Mario Galaxy,PMOD,2007.0,Action,6.16,3.4,1.2,0.76,11.52,501-1400
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,PMOD,2014.0,Misc,4.23,3.37,3.08,0.65,11.33,501-1400
51,Super Mario Land 2: 6 Golden Coins,ANT,1992.0,Misc,6.16,2.04,2.69,0.29,11.18,501-1400
54,Super Mario 3D Land,PMOD,2011.0,Action,4.89,2.99,2.13,0.78,10.79,501-1400
58,Super Mario All-Stars,ANT,1993.0,Action,5.99,2.15,2.12,0.29,10.55,501-1400
59,Pokemon FireRed/Pokemon LeafGreen,MOD,2004.0,Misc,4.34,2.65,3.15,0.35,10.49,501-1400
60,Super Mario 64,PMOD,2004.0,Action,5.08,3.11,1.25,0.98,10.42,501-1400
64,Mario Kart 64,MOD,1996.0,Sports,5.55,1.94,2.23,0.15,9.87,501-1400
65,New Super Mario Bros. 2,PMOD,2012.0,Action,3.66,3.07,2.47,0.63,9.82,501-1400
72,Donkey Kong Country,ANT,1994.0,Action,4.36,1.71,3.0,0.23,9.3,501-1400
74,Animal Crossing: New Leaf,PMOD,2012.0,Misc,2.01,2.32,4.36,0.41,9.09,501-1400
75,Mario Party DS,PMOD,2007.0,Misc,4.46,1.88,1.98,0.7,9.02,501-1400
77,Super Mario Kart,ANT,1992.0,Sports,3.54,1.24,3.81,0.18,8.76,501-1400
79,Wii Party,PMOD,2010.0,Misc,1.79,3.53,2.49,0.68,8.49,501-1400
81,Mario Party 8,PMOD,2007.0,Misc,3.81,2.3,1.58,0.73,8.42,501-1400
82,Pokemon Black 2/Pokemon White 2,PMOD,2012.0,Misc,2.91,1.86,3.14,0.43,8.33,501-1400
85,GoldenEye 007,MOD,1997.0,Action,5.8,2.01,0.13,0.15,8.09,501-1400
89,Pokémon Platinum Version,PMOD,2008.0,Misc,2.82,1.78,2.69,0.55,7.84,501-1400
92,Super Mario Galaxy 2,PMOD,2010.0,Action,3.66,2.42,0.98,0.64,7.69,501-1400
95,The Legend of Zelda: Ocarina of Time,MOD,1998.0,Action,4.1,1.89,1.45,0.16,7.6,501-1400
97,Super Mario Bros. 2,ANT,1988.0,Action,5.39,1.18,0.7,0.19,7.46,501-1400
98,Super Smash Bros. for Wii U and 3DS,PMOD,2014.0,Action,3.24,1.35,2.42,0.43,7.45,501-1400
101,The Legend of Zelda: Twilight Princess,PMOD,2006.0,Action,3.83,2.19,0.6,0.7,7.31,501-1400
108,Super Smash Bros. Melee,ANT,2001.0,Action,4.41,1.04,1.39,0.22,7.07,501-1400
109,Mario Kart 8,PMOD,2014.0,Sports,3.13,2.07,1.27,0.49,6.96,501-1400
111,Mario Kart: Double Dash!!,ANT,2003.0,Sports,4.12,1.77,0.87,0.19,6.95,501-1400
123,Big Brain Academy,PMOD,2005.0,Misc,1.67,2.78,1.6,0.62,6.67,501-1400
126,Donkey Kong Country Returns,PMOD,2010.0,Action,3.25,1.84,1.03,0.47,6.59,501-1400
128,The Legend of Zelda,ANT,1986.0,Action,3.74,0.93,1.69,0.14,6.51,501-1400
131,Pokémon Emerald Version,MOD,2004.0,Misc,2.57,1.58,2.06,0.21,6.41,501-1400
133,Pokémon Crystal Version,ANT,2000.0,Misc,2.55,1.56,1.29,0.99,6.39,501-1400
136,Super Mario Sunshine,ANT,2002.0,Action,4.01,1.26,0.87,0.17,6.31,501-1400
150,Dragon Quest IX: Sentinels of the Starry Skies,PMOD,2009.0,Misc,0.66,0.69,4.35,0.15,5.84,501-1400
156,Tetris,ANT,1988.0,Strategy,2.97,0.69,1.81,0.11,5.58,501-1400
158,Super Smash Bros.,MOD,1999.0,Action,2.95,0.6,1.97,0.04,5.55,501-1400
163,Super Mario Advance,MOD,2001.0,Action,3.14,1.24,0.91,0.2,5.49,501-1400
164,Mario Kart: Super Circuit,MOD,2001.0,Sports,2.62,1.64,0.99,0.23,5.47,501-1400
165,Super Mario World,MOD,2001.0,Action,3.21,1.11,0.95,0.2,5.46,501-1400
166,Pokemon Stadium,MOD,1999.0,Strategy,3.18,1.24,0.94,0.09,5.45,501-1400
171,Dr. Mario,ANT,1989.0,Strategy,2.18,0.96,2.0,0.2,5.34,501-1400
172,Pokemon Pinball,ANT,1999.0,Misc,3.02,1.12,1.01,0.16,5.31,501-1400
176,Donkey Kong 64,MOD,1999.0,Action,3.33,0.79,1.09,0.06,5.27,501-1400
178,Professor Layton and the Curious Village,PMOD,2007.0,Strategy,1.22,2.48,1.03,0.52,5.26,501-1400
183,Super Mario Bros. 3,MOD,2003.0,Action,2.93,1.25,0.83,0.2,5.2,501-1400
184,New Super Mario Bros. U,PMOD,2012.0,Action,2.32,1.3,1.27,0.31,5.19,501-1400
185,Super Mario Land 3: Wario Land,ANT,1994.0,Action,2.49,0.98,1.57,0.15,5.19,501-1400
187,The Legend of Zelda: Phantom Hourglass,PMOD,2007.0,Action,1.9,1.83,0.95,0.49,5.17,501-1400
188,Donkey Kong Country 2: Diddy's Kong Quest,ANT,1995.0,Action,2.1,0.74,2.2,0.11,5.15,501-1400
189,Tomodachi Life,PMOD,2013.0,Misc,0.96,2.02,1.89,0.28,5.15,501-1400
192,Kirby's Dream Land,ANT,1992.0,Action,2.71,0.61,1.7,0.11,5.13,501-1400
201,Super Mario Bros.,ANT,1999.0,Action,3.4,1.3,0.15,0.22,5.07,501-1400
204,Super Smash Bros. for Wii U and 3DS,PMOD,2014.0,Action,2.59,1.06,0.8,0.57,5.02,501-1400
207,Link's Crossbow Training,PMOD,2007.0,Action,3.06,1.18,0.29,0.46,5.0,501-1400
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,PMOD,2007.0,Misc,1.85,1.2,1.54,0.37,4.96,501-1400
214,Diddy Kong Racing,MOD,1997.0,Sports,2.91,0.99,0.89,0.1,4.88,501-1400
216,Dr. Mario,ANT,1990.0,Strategy,2.62,0.6,1.52,0.1,4.85,501-1400
227,Animal Crossing: City Folk,PMOD,2008.0,Misc,1.87,1.12,1.32,0.37,4.68,501-1400
232,The Legend of Zelda: A Link to the Past,ANT,1991.0,Action,2.42,0.91,1.15,0.13,4.61,501-1400
233,The Legend of Zelda: The Wind Waker,ANT,2002.0,Action,2.6,0.99,0.89,0.13,4.6,501-1400
235,Luigi's Mansion: Dark Moon,PMOD,2013.0,Action,1.78,1.39,1.1,0.3,4.58,501-1400
236,Splatoon,PMOD,2015.0,Action,1.55,1.15,1.44,0.43,4.57,501-1400
247,Nintendo Land,PMOD,2012.0,Misc,2.55,1.11,0.46,0.33,4.44,501-1400
252,Zelda II: The Adventure of Link,ANT,1987.0,Misc,2.19,0.5,1.61,0.08,4.38,501-1400
262,Super Mario 3D World,PMOD,2013.0,Action,2.11,1.11,0.72,0.3,4.25,501-1400
269,The Legend of Zelda: Ocarina of Time,PMOD,2011.0,Action,2.03,1.27,0.62,0.3,4.21,501-1400
278,Excitebike,ANT,1984.0,Sports,2.04,0.48,1.57,0.07,4.16,501-1400
283,Super Mario World 2: Yoshi's Island,ANT,1995.0,Action,1.65,0.61,1.76,0.09,4.12,501-1400
285,The Legend of Zelda: Skyward Sword,PMOD,2011.0,Action,2.14,1.2,0.37,0.4,4.1,501-1400
297,Star Fox 64,MOD,1997.0,Action,2.78,0.58,0.64,0.04,4.03,501-1400
299,Golf,ANT,1984.0,Sports,1.22,0.28,2.46,0.04,4.01,501-1400
301,Professor Layton and the Diabolical Box,PMOD,2007.0,Strategy,0.92,1.78,0.92,0.37,4.0,501-1400
